keyword,icon_name,background_color,animation,description_ja,cssClass,,,,,
happiness,😊,linear-gradient(135deg #fef3c7 #fbbf24),bounce,幸せな気持ち,visual-happiness,,,,,
school,🏫,linear-gradient(135deg #dbeafe #3b82f6),fade,学校での学び,visual-school,,,,,
emotion,💭,linear-gradient(135deg #f3e8ff #a855f7),wave,感情の表現,visual-emotion,,,,,
friendship,🤝,linear-gradient(135deg #ecfdf5 #059669),glow,友情の絆,visual-friendship,,,,,
object,📦,linear-gradient(135deg #f5f5f4 #78716c),slide,物の世界,visual-object,,,,,
sports,⚽,linear-gradient(135deg #d1fae5 #10b981),bounce,スポーツの楽しさ,visual-sports,,,,,
music,🎵,linear-gradient(135deg #ede9fe #8b5cf6),pulse,音楽の世界,visual-music,,,,,
food,🍽️,linear-gradient(135deg #fed7d7 #f56565),rotate,美味しい食事,visual-food,,,,,
reading,📚,linear-gradient(135deg #fef3c7 #f59e0b),page-turn,読書の世界,visual-reading,,,,,
entertainment,📺,linear-gradient(135deg #e0e7ff #6366f1),flicker,エンターテイメント,visual-entertainment,,,,,
question,❓,linear-gradient(135deg #fef3c7 #f59e0b),shake,疑問と発見,visual-question,,,,,
location,📍,linear-gradient(135deg #fce7f3 #ec4899),pin,場所と位置,visual-location,,,,,
person,👤,linear-gradient(135deg #f1f5f9 #475569),fade,人物,visual-person,,,,,
negation,🚫,linear-gradient(135deg #fee2e2 #dc2626),flash,否定の表現,visual-negation,,,,,
time,⏰,linear-gradient(135deg #f0f9ff #0ea5e9),tick,時間の概念,visual-time,,,,,
language,🗣️,linear-gradient(135deg #f0fdf4 #16a34a),speak,言語とコミュニケーション,visual-language,,,,,
past_sports,⚽,linear-gradient(135deg #e2e8f0 #64748b),fadeIn,過去のスポーツ体験,visual-past-sports,,,,,
future_study,📖,linear-gradient(135deg #f8fafc #3730a3),glow,未来への学習,visual-future-study,,,,,
completion,✅,linear-gradient(135deg #dcfce7 #166534),checkmark,完了と達成,visual-completion,,,,,
creation,✍️,linear-gradient(135deg #fef7cd #a16207),write,創作と制作,visual-creation,,,,,
