id,level,category,type,word,color,position,japanese,hint
1,beginner,be_verb,pronoun,I,blue,subject,私,最初に来る人称代名詞
2,beginner,be_verb,pronoun,You,blue,subject,あなた,二人称代名詞
3,beginner,be_verb,pronoun,He,blue,subject,彼,三人称単数男性
4,beginner,be_verb,pronoun,She,blue,subject,彼女,三人称単数女性
5,beginner,be_verb,pronoun,It,blue,subject,それ,三人称単数中性
6,beginner,be_verb,pronoun,We,blue,subject,私たち,一人称複数
7,beginner,be_verb,pronoun,They,blue,subject,彼ら,三人称複数
8,beginner,be_verb,be-verb,am,blue,verb,です/である,Iと組み合わせる
9,beginner,be_verb,be-verb,is,blue,verb,です/である,He/She/Itと組み合わせる
10,beginner,be_verb,be-verb,are,blue,verb,です/である,You/We/Theyと組み合わせる
11,beginner,be_verb,adjective,happy,blue,complement,幸せな,気持ちを表す形容詞
12,beginner,be_verb,adjective,sad,blue,complement,悲しい,気持ちを表す形容詞
13,beginner,be_verb,adjective,hungry,blue,complement,お腹がすいた,状態を表す形容詞
14,beginner,be_verb,adjective,tired,blue,complement,疲れた,状態を表す形容詞
15,beginner,be_verb,adjective,busy,blue,complement,忙しい,状態を表す形容詞
16,beginner,be_verb,adjective,hot,blue,complement,暑い,温度を表す形容詞
17,beginner,be_verb,adjective,cold,blue,complement,寒い,温度を表す形容詞
18,beginner,be_verb,noun,a student,blue,complement,学生,職業を表す名詞
19,beginner,be_verb,noun,a teacher,blue,complement,先生,職業を表す名詞
20,beginner,be_verb,noun,a doctor,blue,complement,医者,職業を表す名詞
21,beginner,be_verb,adverb,here,blue,complement,ここに,場所を表す副詞
22,beginner,be_verb,adverb,there,blue,complement,そこに,場所を表す副詞
23,beginner,be_verb,adverb,at home,blue,complement,家にいる,場所の詳細
24,beginner,be_verb,adverb,at school,blue,complement,学校にいる,場所の詳細
25,beginner,be_verb,adverb,in Tokyo,blue,complement,東京にいる,具体的な場所

26,beginner,general_verb,pronoun,I,red,subject,私,一般動詞文の主語
27,beginner,general_verb,pronoun,You,red,subject,あなた,一般動詞文の主語
28,beginner,general_verb,pronoun,He,red,subject,彼,三人称単数（s付く）
29,beginner,general_verb,pronoun,She,red,subject,彼女,三人称単数（s付く）
30,beginner,general_verb,pronoun,We,red,subject,私たち,複数形
31,beginner,general_verb,pronoun,They,red,subject,彼ら,複数形
32,beginner,general_verb,general,like,red,verb,好き,感情を表す動詞
33,beginner,general_verb,general,likes,red,verb,好き,三人称単数形
34,beginner,general_verb,general,eat,red,verb,食べる,動作を表す動詞
35,beginner,general_verb,general,eats,red,verb,食べる,三人称単数形
36,beginner,general_verb,general,play,red,verb,遊ぶ,動作を表す動詞
37,beginner,general_verb,general,plays,red,verb,遊ぶ,三人称単数形
38,beginner,general_verb,general,study,red,verb,勉強する,動作を表す動詞
39,beginner,general_verb,general,studies,red,verb,勉強する,三人称単数形
40,beginner,general_verb,general,watch,red,verb,見る,動作を表す動詞
41,beginner,general_verb,general,watches,red,verb,見る,三人称単数形
42,beginner,general_verb,countable,apples,red,object,りんご,数えられる名詞
43,beginner,general_verb,countable,books,red,object,本,数えられる名詞
44,beginner,general_verb,countable,cats,red,object,猫,数えられる名詞
45,beginner,general_verb,countable,dogs,red,object,犬,数えられる名詞
46,beginner,general_verb,uncountable,music,red,object,音楽,数えられない名詞
47,beginner,general_verb,uncountable,soccer,red,object,サッカー,スポーツ名
48,beginner,general_verb,uncountable,TV,red,object,テレビ,メディア
49,beginner,general_verb,uncountable,homework,red,object,宿題,学校関連
50,beginner,general_verb,uncountable,English,red,object,英語,言語名

51,intermediate,question,question,What,yellow,question,何,疑問詞
52,intermediate,question,question,Where,yellow,question,どこ,疑問詞
53,intermediate,question,question,When,yellow,question,いつ,疑問詞
54,intermediate,question,question,Who,yellow,question,誰,疑問詞
55,intermediate,question,question,Why,yellow,question,なぜ,疑問詞
56,intermediate,question,question,How,yellow,question,どのように,疑問詞
57,intermediate,question,auxiliary,do,yellow,auxiliary,する（助動詞）,疑問文用助動詞
58,intermediate,question,auxiliary,does,yellow,auxiliary,する（助動詞）,三人称単数用
59,intermediate,question,auxiliary,did,yellow,auxiliary,した（助動詞）,過去形用
60,intermediate,question,auxiliary,don't,yellow,auxiliary,しない,否定形
61,intermediate,question,auxiliary,doesn't,yellow,auxiliary,しない,三人称単数否定
62,intermediate,question,auxiliary,didn't,yellow,auxiliary,しなかった,過去否定
63,intermediate,question,noun,your name,yellow,complement,あなたの名前,疑問文の補語
64,intermediate,question,noun,the time,yellow,complement,時間,疑問文の補語
65,intermediate,question,noun,the book,yellow,complement,その本,疑問文の補語
66,intermediate,question,noun,lunch,yellow,complement,昼食,疑問文の補語
67,intermediate,question,preposition,from,yellow,preposition,から,前置詞
68,intermediate,question,preposition,to,yellow,preposition,に/へ,前置詞
69,intermediate,question,preposition,with,yellow,preposition,一緒に,前置詞
70,intermediate,question,preposition,about,yellow,preposition,について,前置詞
71,intermediate,question,preposition,at,yellow,preposition,で,時間・場所
72,intermediate,question,preposition,in,yellow,preposition,の中で,場所・時間
73,intermediate,question,preposition,on,yellow,preposition,の上で,場所・時間
74,intermediate,question,adverb,yesterday,yellow,time,昨日,過去時制
75,intermediate,question,adverb,today,yellow,time,今日,現在時制

76,intermediate,past_tense,pronoun,I,green,subject,私,過去形主語
77,intermediate,past_tense,pronoun,You,green,subject,あなた,過去形主語
78,intermediate,past_tense,pronoun,He,green,subject,彼,過去形主語
79,intermediate,past_tense,pronoun,She,green,subject,彼女,過去形主語
80,intermediate,past_tense,pronoun,We,green,subject,私たち,過去形主語
81,intermediate,past_tense,pronoun,They,green,subject,彼ら,過去形主語
82,intermediate,past_tense,past_verb,was,green,verb,だった,過去のBe動詞
83,intermediate,past_tense,past_verb,were,green,verb,だった,過去のBe動詞複数
84,intermediate,past_tense,past_verb,played,green,verb,遊んだ,規則動詞過去形
