phoneme,audio_file,word_example,additional_examples,difficulty_level,phoneme_group,symbol_variations,spelling_patterns,common_words,teaching_strategy
/iː/,ee.mp3,see,"tree,free,green,sleep","2",long_vowels,"ee,ea,e,ie","see,tea,me,piece","be,he,she,we,tree,free,green,see","Show long duration with hand gesture"
/uː/,oo.mp3,moon,"food,school,blue,true","2",long_vowels,"oo,u,ue,ew","moon,tune,blue,new","do,to,you,food,school,moon,room,cool","Compare with short /ʊ/ sound"
/ɔː/,or.mp3,door,"more,four,wall,ball","3",long_vowels,"or,aw,au,al","door,saw,cause,walk","all,call,walk,talk,more,four,door,floor","Emphasize the 'r' sound in American English"
/ɑː/,ar.mp3,car,"park,start,heart,dark","3",long_vowels,"ar,a","car,father","car,park,start,heart,dark,far,star,art","Long 'ah' sound - mouth wide open"
/ɜː/,ur.mp3,bird,"word,learn,first,hurt","4",r_controlled,"ur,er,ir,or","bird,her,girl,work","her,word,girl,first,hurt,turn,learn,work","All these spellings make the same sound!"
/eɪ/,ay.mp3,day,"play,rain,make,great","2",diphthongs,"ay,ai,a_e,ei","day,rain,make,eight","day,play,say,way,rain,train,make,take","Glide from /e/ to /ɪ/ - mouth moves"
/aɪ/,igh.mp3,night,"light,my,time,try","2",diphthongs,"igh,y,i_e,ie","night,my,time,pie","my,try,night,light,time,like,bike,five","Glide from /a/ to /ɪ/ - jaw moves up"
/ɔɪ/,oy.mp3,boy,"toy,coin,voice,enjoy","3",diphthongs,"oy,oi","boy,coin","boy,toy,enjoy,voice,choice,coin,oil,boil","Two sounds together - /ɔ/ + /ɪ/"
/aʊ/,ow.mp3,cow,"house,down,about,town","3",diphthongs,"ow,ou","cow,house","cow,how,now,house,mouse,about,down,town","Glide from /a/ to /ʊ/ - lips round at end"
/oʊ/,o.mp3,go,"home,road,know,show","2",diphthongs,"o,oa,ow,o_e","go,boat,show,home","go,no,so,home,road,boat,show,know","Glide from /o/ to /ʊ/ - lips get rounder"
/ɪə/,ear.mp3,ear,"hear,near,beer,dear","4",r_controlled,"ear,eer,ere","ear,deer,here","ear,hear,near,dear,year,beer,deer,here","British English - /ɪ/ + /ə/ + /r/"
/eə/,air.mp3,hair,"care,bear,where,fair","4",r_controlled,"air,are,ear","hair,care,bear","hair,fair,care,bear,where,there,chair,stair","Like /e/ + /ə/ + /r/ combination"
/ʊə/,ure.mp3,sure,"poor,tour,pure,cure","4",r_controlled,"ure,oor,our","sure,poor,tour","sure,pure,poor,tour,cure,mature,secure","Rare sound - /ʊ/ + /ə/ + /r/"
/ə/,a.mp3,about,"sofa,camera,banana,family","2",schwa,"a,e,i,o,u","about,broken,pencil,lemon,circus","about,around,camera,sofa,family,animal","The lazy sound - appears in unstressed syllables"
/ɒ/,o.mp3,hot,"box,clock,stop,job","2",short_vowels,"o","hot,box","hot,not,got,box,clock,stop,job,dog","British English - rounded /ɑ/ sound"
/ʊ/,u.mp3,book,"good,look,put,could","3",short_vowels,"oo,u,ou","book,put,could","book,look,good,took,put,could,would,should","Shorter than /uː/ - relaxed lips"
/æ/,a.mp3,cat,"hat,back,black,have","2",short_vowels,"a","cat,hat","cat,hat,back,man,black,have,can,and","Wide open mouth - front tongue position"
/e/,e.mp3,bed,"red,help,said,bread","2",short_vowels,"e,ea,a","bed,bread,said","bed,red,help,ten,bread,said,head,dead","Mid-front vowel - between /æ/ and /ɪ/"
/ɪ/,i.mp3,sit,"big,fish,women,busy","2",short_vowels,"i,y,e","sit,gym,pretty","sit,big,fish,list,pretty,women,busy,gym","Relaxed /iː/ - tongue not as high"
/ʌ/,u.mp3,cup,"but,love,come,blood","3",short_vowels,"u,o,ou","cup,love,young","cup,but,love,come,some,blood,young,enough","Central vowel - tongue in neutral position"
